Date,Open,High,Low,Close,Adj Close,Volume
2020-08-13,5.435200,5.435900,5.357000,5.435000,5.435000,0
2020-08-14,5.366900,5.420000,5.357780,5.367000,5.367000,0
2020-08-17,5.424600,5.476500,5.409840,5.420800,5.420800,0
2020-08-18,5.508500,5.509800,5.416800,5.508300,5.508300,0
2020-08-19,5.466900,5.504600,5.434820,5.465400,5.465400,0
2020-08-20,5.556500,5.667800,5.540350,5.556400,5.556400,0
2020-08-21,5.555700,5.631500,5.552830,5.555900,5.555900,0
2020-08-24,5.623200,5.623600,5.557190,5.618600,5.618600,0
2020-08-25,5.609700,5.613490,5.556110,5.610600,5.610600,0
2020-08-26,5.507200,5.605600,5.505210,5.507400,5.507400,0
2020-08-27,5.607300,5.617400,5.557000,5.607200,5.607200,0
2020-08-28,5.568500,5.569900,5.440160,5.568700,5.568700,0
2020-08-31,5.390900,5.492500,5.363300,5.390000,5.390000,0
2020-09-01,5.491400,5.492500,5.355700,5.490900,5.490900,0
2020-09-02,5.396700,5.422370,5.343660,5.397300,5.397300,0
2020-09-03,null,null,null,null,null,null
2020-09-04,5.289800,5.326900,5.241900,5.305700,5.305700,0
